code,volume
JP.436A,37200
JP.4370,140300
JP.4371,4500
JP.4372,200
JP.4373,1741700
JP.4374,3700
JP.4375,121700
JP.4376,39800
JP.4377,76900
JP.4378,4200
JP.4379,132700
JP.4380,2000
JP.4381,321700
JP.4382,147300
JP.4385,1965800
JP.4386,8000
JP.4387,5600
JP.4388,5900
JP.4389,2600
JP.438A,46300
JP.4390,68000
JP.4391,800
JP.4392,1196900
JP.4393,50600
JP.4394,34300
JP.4395,39000
JP.4396,53400
JP.4397,20000
JP.4398,5100
JP.4401,140900
JP.4403,554100
JP.4404,23800
JP.4406,135900
JP.4409,3600
JP.4410,74000
JP.4412,21200
JP.4413,281300
JP.4414,8000
JP.4415,9300
JP.4416,6800
JP.4417,56400
JP.4418,222800
JP.4419,263200
JP.441A,61500
JP.4420,233600
JP.4421,6900
JP.4422,43100
JP.4424,39900
JP.4425,191700
JP.4427,13900
JP.4428,1000
JP.4429,3800
JP.442A,9600
JP.4430,9400
JP.4431,38900
JP.4432,62300
JP.4433,32800
JP.4434,31000
JP.4436,0
JP.4437,6400
JP.4438,140700
JP.4439,8000
JP.443A,37170
JP.4440,1552200
